Provincia,Departamento,Cant_BP,Cant_EE,Poblacion
Tucumán,FAMAILLA,2,43,42669
Tucumán,TAFI DEL VALLE,2,18,22382
Tierra del Fuego,USHUAIA,2,56,80009
Buenos Aires,AZUL,3,125,75152
Buenos Aires,LA MATANZA,16,974,1837168
Buenos Aires,TANDIL,14,168,144678
Buenos Aires,VILLARINO,4,74,32552
Buenos Aires,CARLOS TEJEDOR,2,45,14007
Buenos Aires,CHIVILCOY,1,108,70554
Buenos Aires,ALMIRANTE BROWN,11,416,583209
Buenos Aires,ROJAS,1,53,25619
Buenos Aires,TAPALQUE,1,42,10695
Buenos Aires,FLORENCIO VARELA,10,293,488103
Buenos Aires,GENERAL ALVARADO,2,62,45307
Buenos Aires,MAIPU,1,27,11253
Buenos Aires,SALADILLO,1,78,35423
Buenos Aires,TORNQUIST,4,46,14591
Catamarca,SANTA MARIA,2,81,26822
Córdoba,CRUZ DEL EJE,1,141,64748
Corrientes,MONTE CASEROS,7,55,45602
Chaco,12 DE OCTUBRE,1,54,23179
Chubut,FUTALEUFU,2,67,49965
Chubut,TELSEN,2,6,1608
Entre Ríos,FEDERACION,4,109,78264
Entre Ríos,SAN SALVADOR,2,31,20786
Entre Ríos,DIAMANTE,3,96,52312
Entre Ríos,URUGUAY,6,150,115516
Formosa,LAISHI,2,49,19275
Jujuy,TILCARA,1,21,14621
La Pampa,TRENEL,2,12,5637
La Pampa,LOVENTUE,3,19,9243
La Rioja,FAMATINA,1,34,6984
La Rioja,CHILECITO,3,64,58681
Mendoza,SAN MARTIN,4,128,139406
Misiones,IGUAZU,3,136,99838
Salta,ROSARIO DE LERMA,1,42,50961
San Juan,SAN JUAN CAPITAL,16,166,114849
San Juan,JACHAL,1,76,25269
Santa Fe,GENERAL LOPEZ,21,232,200455
Santa Fe,CONSTITUCION,17,85,93000
Santa Fe,GARAY,2,39,24853
Santa Fe,SAN CRISTOBAL,11,177,72593
Santiago del Estero,RIO HONDO,4,125,66637
Tucumán,TUCUMÁN CAPITAL,10,382,587289
Tucumán,TRANCAS,1,42,23438
Tucumán,LEALES,3,101,66352
Buenos Aires,JUNIN,8,125,100964
