Provincia,departamento,Jardines,Poblacion Jardin,primarias,poblacion_primaria,secundarios,poblacion_secundaria,poblacion_total
Salta,LA VIÑA,8.0,760,9.0,1108,3.0,909,8888
San Juan,IGLESIA,11.0,819,14.0,1084,11.0,908,8826
San Juan,CAUCETE,23.0,4319,26.0,5636,20.0,5029,44017
Santa Fe,ROSARIO,372.0,97904,340.0,136909,230.0,111326,1337958
Santa Fe,CASTELLANOS,135.0,15092,124.0,20593,51.0,17437,189464
Santiago del Estero,RIVADAVIA,12.0,487,16.0,649,3.0,539,5314
Santiago del Estero,ALBERDI,35.0,2298,56.0,2854,22.0,2369,20104
Santiago del Estero,ATAMISQUI,25.0,1520,25.0,2168,13.0,1880,14894
Santiago del Estero,FIGUEROA,52.0,2127,67.0,2803,33.0,2471,20246
Santiago del Estero,LORETO,53.0,2243,47.0,3051,30.0,2561,24047
Tucumán,CRUZ ALTA,94.0,21071,75.0,29374,52.0,23883,227688
Tucumán,TAFI DEL VALLE,8.0,1828,6.0,2606,8.0,2135,22382
Buenos Aires,LA MATANZA,377.0,157034,333.0,225872,334.0,181212,1837168
Buenos Aires,SAN VICENTE,31.0,9859,30.0,14032,20.0,10952,97929
Buenos Aires,TANDIL,89.0,9785,60.0,14723,37.0,12884,144678
Buenos Aires,LA PLATA,274.0,52075,199.0,77998,199.0,67326,756074
Buenos Aires,BOLIVAR,47.0,2830,37.0,3857,15.0,3206,37194
Buenos Aires,GENERAL JUAN MADARIAGA,30.0,1548,23.0,2637,11.0,2375,22566
Buenos Aires,DAIREAUX,23.0,1395,20.0,1986,10.0,1828,18328
Buenos Aires,CHIVILCOY,56.0,4906,50.0,7181,22.0,6479,70554
Buenos Aires,AVELLANEDA,152.0,22784,93.0,37082,78.0,32476,366117
Buenos Aires,TAPALQUE,22.0,873,22.0,1125,5.0,1059,10695
Buenos Aires,ADOLFO ALSINA,29.0,1292,23.0,1697,12.0,1437,17344
Buenos Aires,PELLEGRINI,11.0,662,6.0,831,3.0,610,7112
Buenos Aires,MERLO,114.0,48007,120.0,71541,123.0,59718,581484
Buenos Aires,LINCOLN,53.0,3480,41.0,4674,18.0,4080,45191
Buenos Aires,FLORENTINO AMEGHINO,13.0,876,9.0,1275,7.0,1107,10759
Buenos Aires,SALLIQUELO,10.0,653,5.0,963,4.0,846,9344
Catamarca,AMBATO,12.0,374,18.0,439,5.0,401,5087
Catamarca,SANTA MARIA,27.0,2179,32.0,2998,25.0,2619,26822
Corrientes,CURUZU CUATIA,44.0,4649,49.0,6209,14.0,5270,51489
Corrientes,CORRIENTES CAPITAL,171.0,35160,89.0,47808,55.0,40759,437446
Corrientes,ESQUINA,48.0,3662,54.0,4809,14.0,4256,39168
Corrientes,MONTE CASEROS,29.0,4116,34.0,5486,7.0,4434,45602
Chaco,ALMIRANTE BROWN,35.0,4089,58.0,5089,12.0,4604,37794
